k	alpha	distribution	manager	thresholds	entropy	time
12	0.25	f	m	[f:6,]	4.43467	14.8118
12	0.5	f	m	[f:6,]	4.43027	17.5231
12	1.0	f	c:1000	[f:6,]	4.42929	24.5401
12	1.0	f	c:100	[f:6,]	4.42929	25.9895
12	1.0	f	c:10	[f:6,]	4.42944	22.4959
12	1.0	f	m	[f:6,]	4.42929	21.6569
12	1.0	f	n	[f:6,]	4.42996	22.4216
12	1.0	f	o	[f:6,]	4.42905	22.0874
12	1.0	u	m	[f:6,]	5.90869	20.7499
12	2.0	f	m	[f:6,]	4.43126	22.5453
12	4.0	f	m	[f:6,]	4.43468	19.4892
12	8.0	f	m	[f:6,]	4.43859	18.5035
